Token,Symbol,DisplayName,Description,Series,LotSize,TickSize,ExpiryDate,StrikePrice,OptionType,UnderlyingSymbol,AssetToken,PriceBandHigh,PriceBandLow,LTP,Open,High,Low,Close,PrevClose,Volume,IV,Delta,Gamma,Vega,Theta,InstrumentType
1162723,BANKEX,BANKEX 26FEB2026 CE 69200,BANKEX26FEB69200CE,IO,30,0.05,26FEB2026,69200,CE,BANKEX,-1,1072.65,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
822568,SENSEX,SENSEX 25MAR2026 PE 81300,SENSEX26MAR81300PE,IO,20,0.05,25MAR2026,81300,PE,SENSEX,-1,485.15,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
823868,SENSEX,SENSEX 25MAR2026 CE 95100,SENSEX26MAR95100CE,IO,20,0.05,25MAR2026,95100,CE,SENSEX,-1,264.25,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1147607,BANKEX,BANKEX 29JAN2026 PE 70300,BANKEX26JAN70300PE,IO,30,0.05,29JAN2026,70300,PE,BANKEX,-1,4789.1,1446.2,0,0,0,0,0,0,0,0,0,0,0,0,2
822969,SENSEX,SENSEX 05FEB2026 CE 86900,SENSEX2620586900CE,IO,20,0.05,05FEB2026,86900,CE,SENSEX,-1,1484.7,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
824665,SENSEX,SENSEX 12FEB2026 CE 85700,SENSEX2621285700CE,IO,20,0.05,12FEB2026,85700,CE,SENSEX,-1,2433.95,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
831651,BANKEX,BANKEX 25MAR2026 PE 60900,BANKEX26MAR60900PE,IO,30,0.05,25MAR2026,60900,PE,BANKEX,-1,77.25,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1166222,BANKEX,BANKEX 29JAN2026 CE 74400,BANKEX26JAN74400CE,IO,30,0.05,29JAN2026,74400,CE,BANKEX,-1,20.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1160088,SENSEX,SENSEX 08JAN2026 CE 87700,SENSEX2610887700CE,IO,20,0.05,08JAN2026,87700,CE,SENSEX,-1,210.85,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
822613,SENSEX,SENSEX 25MAR2026 PE 76200,SENSEX26MAR76200PE,IO,20,0.05,25MAR2026,76200,PE,SENSEX,-1,51.7,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1170340,SENSEX,SENSEX 15JAN2026 CE 78100,SENSEX2611578100CE,IO,20,0.05,15JAN2026,78100,CE,SENSEX,-1,9738.45,4767.9,0,0,0,0,0,0,0,0,0,0,0,0,2
822660,SENSEX,SENSEX 25MAR2026 CE 80300,SENSEX26MAR80300CE,IO,20,0.05,25MAR2026,80300,CE,SENSEX,-1,8186.35,3726.15,0,0,0,0,0,0,0,0,0,0,0,0,2
822601,SENSEX,SENSEX 25MAR2026 CE 76800,SENSEX26MAR76800CE,IO,20,0.05,25MAR2026,76800,CE,SENSEX,-1,11767,6926.25,0,0,0,0,0,0,0,0,0,0,0,0,2
822328,SENSEX,SENSEX 25MAR2026 CE 85300,SENSEX26MAR85300CE,IO,20,0.05,25MAR2026,85300,CE,SENSEX,-1,3562.4,385.2,0,0,0,0,0,0,0,0,0,0,0,0,2
822759,SENSEX,SENSEX 25MAR2026 PE 78600,SENSEX26MAR78600PE,IO,20,0.05,25MAR2026,78600,PE,SENSEX,-1,158.7,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1150335,BANKEX,BANKEX 29JAN2026 PE 72300,BANKEX26JAN72300PE,IO,30,0.05,29JAN2026,72300,PE,BANKEX,-1,6967.4,3205.6,0,0,0,0,0,0,0,0,0,0,0,0,2
1159259,BANKEX,BANKEX 29JAN2026 PE 73300,BANKEX26JAN73300PE,IO,30,0.05,29JAN2026,73300,PE,BANKEX,-1,8003.15,4160.05,0,0,0,0,0,0,0,0,0,0,0,0,2
823201,SENSEX,SENSEX 05FEB2026 PE 82200,SENSEX2620582200PE,IO,20,0.05,05FEB2026,82200,PE,SENSEX,-1,426.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1159916,SENSEX,SENSEX 08JAN2026 PE 90000,SENSEX2610890000PE,IO,20,0.05,08JAN2026,90000,PE,SENSEX,-1,7060.55,2103.35,0,0,0,0,0,0,0,0,0,0,0,0,2
821053,SENSEX,SENSEX 15JAN2026 PE 93400,SENSEX2611593400PE,IO,20,0.05,15JAN2026,93400,PE,SENSEX,-1,10499.2,5529.8,0,0,0,0,0,0,0,0,0,0,0,0,2
831429,SENSEX,SENSEX 12FEB2026 PE 80000,SENSEX2621280000PE,IO,20,0.05,12FEB2026,80000,PE,SENSEX,-1,147.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
837693,SENSEX,SENSEX 19FEB2026 CE 78500,SENSEX2621978500CE,IO,20,0.05,19FEB2026,78500,CE,SENSEX,-1,9670,4843.7,0,0,0,0,0,0,0,0,0,0,0,0,2
1143701,SENSEX,SENSEX 29JAN2026 CE 85400,SENSEX26JAN85400CE,IO,20,0.05,29JAN2026,85400,CE,SENSEX,-1,2392.9,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
822524,SENSEX,SENSEX 25MAR2026 PE 79400,SENSEX26MAR79400PE,IO,20,0.05,25MAR2026,79400,PE,SENSEX,-1,224.15,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
822272,SENSEX,SENSEX 25MAR2026 CE 84100,SENSEX26MAR84100CE,IO,20,0.05,25MAR2026,84100,CE,SENSEX,-1,4529.85,973.25,0,0,0,0,0,0,0,0,0,0,0,0,2
825545,SENSEX,SENSEX 12FEB2026 CE 87500,SENSEX2621287500CE,IO,20,0.05,12FEB2026,87500,CE,SENSEX,-1,1345.8,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
824486,BANKEX,BANKEX 25MAR2026 PE 57200,BANKEX26MAR57200PE,IO,30,0.05,25MAR2026,57200,PE,BANKEX,-1,20.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
827240,BANKEX,BANKEX 25MAR2026 PE 69800,BANKEX26MAR69800PE,IO,30,0.05,25MAR2026,69800,PE,BANKEX,-1,3620.55,1265.95,0,0,0,0,0,0,0,0,0,0,0,0,2
820984,BANKEX,BANKEX 29JAN2026 CE 56900,BANKEX26JAN56900CE,IO,30,0.05,29JAN2026,56900,CE,BANKEX,-1,12202.2,8296.55,0,0,0,0,0,0,0,0,0,0,0,0,2
1151627,BANKEX,BANKEX 29JAN2026 PE 63500,BANKEX26JAN63500PE,IO,30,0.05,29JAN2026,63500,PE,BANKEX,-1,119.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1137968,SENSEX,SENSEX 29JAN2026 PE 77700,SENSEX26JAN77700PE,IO,20,0.05,29JAN2026,77700,PE,SENSEX,-1,20.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
821583,SENSEX,SENSEX 31DEC2026 CE 87000,SENSEX26DEC87000CE,IO,20,0.05,31DEC2026,87000,CE,SENSEX,-1,6461.45,2795.45,0,0,0,0,0,0,0,0,0,0,0,0,2
824134,SENSEX,SENSEX 12FEB2026 CE 77800,SENSEX2621277800CE,IO,20,0.05,12FEB2026,77800,CE,SENSEX,-1,10330.3,5429.4,0,0,0,0,0,0,0,0,0,0,0,0,2
1105745,SENSEX,SENSEX 24SEP2026 CE 86000,SENSEX26SEP86000CE,IO,20,0.05,24SEP2026,86000,CE,SENSEX,-1,5854,2258.1,0,0,0,0,0,0,0,0,0,0,0,0,2
1172037,SENSEX,SENSEX 22JAN2026 PE 83800,SENSEX2612283800PE,IO,20,0.05,22JAN2026,83800,PE,SENSEX,-1,797.2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1148007,BANKEX,BANKEX 29JAN2026 CE 72500,BANKEX26JAN72500CE,IO,30,0.05,29JAN2026,72500,CE,BANKEX,-1,61.85,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1162561,BANKEX,BANKEX 26FEB2026 CE 72200,BANKEX26FEB72200CE,IO,30,0.05,26FEB2026,72200,CE,BANKEX,-1,296.85,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
837272,SENSEX,SENSEX 19FEB2026 PE 80400,SENSEX2621980400PE,IO,20,0.05,19FEB2026,80400,PE,SENSEX,-1,216.2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1174027,SENSEX,SENSEX 26FEB2026 PE 76600,SENSEX26FEB76600PE,IO,20,0.05,26FEB2026,76600,PE,SENSEX,-1,30.4,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1165401,SENSEX,SENSEX 26FEB2026 CE 85000,SENSEX26FEB85000CE,IO,20,0.05,26FEB2026,85000,CE,SENSEX,-1,3279.35,114.75,0,0,0,0,0,0,0,0,0,0,0,0,2
830005,SENSEX50,SENSEX50 25MAR2026 CE 26300,SENSEX5026MAR26300CE,IO,75,0.05,25MAR2026,26300,CE,SENSEX50,-1,2130.35,815.65,0,0,0,0,0,0,0,0,0,0,0,0,2
836874,SENSEX,SENSEX 19FEB2026 CE 85500,SENSEX2621985500CE,IO,20,0.05,19FEB2026,85500,CE,SENSEX,-1,2722.8,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
823176,SENSEX,SENSEX 05FEB2026 PE 92900,SENSEX2620592900PE,IO,20,0.05,05FEB2026,92900,PE,SENSEX,-1,9613.55,4834.4,0,0,0,0,0,0,0,0,0,0,0,0,2
837371,SENSEX,SENSEX 19FEB2026 CE 94000,SENSEX2621994000CE,IO,20,0.05,19FEB2026,94000,CE,SENSEX,-1,128.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1174154,SENSEX,SENSEX 29JAN2026 PE 94800,SENSEX26JAN94800PE,IO,20,0.05,29JAN2026,94800,PE,SENSEX,-1,11685.2,6739.3,0,0,0,0,0,0,0,0,0,0,0,0,2
1137917,SENSEX50,SENSEX50 29JAN2026 CE 26750,SENSEX5026JAN26750CE,IO,75,0.05,29JAN2026,26750,CE,SENSEX50,-1,1385.9,157.4,0,0,0,0,0,0,0,0,0,0,0,0,2
827391,SENSEX,SENSEX 12FEB2026 CE 91400,SENSEX2621291400CE,IO,20,0.05,12FEB2026,91400,CE,SENSEX,-1,293.35,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
828894,BANKEX,BANKEX 25MAR2026 CE 71100,BANKEX26MAR71100CE,IO,30,0.05,25MAR2026,71100,CE,BANKEX,-1,768.8,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1172099,SENSEX,SENSEX 22JAN2026 CE 83400,SENSEX2612283400CE,IO,20,0.05,22JAN2026,83400,CE,SENSEX,-1,4145.85,193.35,0,0,0,0,0,0,0,0,0,0,0,0,2
1151559,SENSEX50,SENSEX50 29JAN2026 PE 27500,SENSEX5026JAN27500PE,IO,75,0.05,29JAN2026,27500,PE,SENSEX50,-1,786.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,2
824340,BANKEX,BANKEX 25MAR2026 PE 64800,BANKEX26MAR64800PE,IO,30,0.05,25MAR2026,64800,PE,BANKEX,-1,599.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
844274,SENSEX,SENSEX 28JUN2029 CE 89000,SENSEX29JUN89000CE,IO,20,0.05,28JUN2029,89000,CE,SENSEX,-1,15359.9,10866.5,0,0,0,0,0,0,0,0,0,0,0,0,2
821221,SENSEX,SENSEX 08JAN2026 PE 76600,SENSEX2610876600PE,IO,20,0.05,08JAN2026,76600,PE,SENSEX,-1,20.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
824619,SENSEX,SENSEX 12FEB2026 CE 87100,SENSEX2621287100CE,IO,20,0.05,12FEB2026,87100,CE,SENSEX,-1,1546.7,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1147485,BANKEX,BANKEX 29JAN2026 CE 57900,BANKEX26JAN57900CE,IO,30,0.05,29JAN2026,57900,CE,BANKEX,-1,11206.3,7300.8,0,0,0,0,0,0,0,0,0,0,0,0,2
1153540,BANKEX,BANKEX 29JAN2026 CE 57600,BANKEX26JAN57600CE,IO,30,0.05,29JAN2026,57600,CE,BANKEX,-1,11505,7599.55,0,0,0,0,0,0,0,0,0,0,0,0,2
1164070,SENSEX,SENSEX 26FEB2026 CE 83900,SENSEX26FEB83900CE,IO,20,0.05,26FEB2026,83900,CE,SENSEX,-1,4232.15,644.25,0,0,0,0,0,0,0,0,0,0,0,0,2
1160430,SENSEX,SENSEX 08JAN2026 PE 86700,SENSEX2610886700PE,IO,20,0.05,08JAN2026,86700,PE,SENSEX,-1,3322.5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1151893,SENSEX,SENSEX 29JAN2026 PE 77500,SENSEX26JAN77500PE,IO,20,0.05,29JAN2026,77500,PE,SENSEX,-1,20.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1147468,SENSEX,SENSEX 29JAN2026 CE 78600,SENSEX26JAN78600CE,IO,20,0.05,29JAN2026,78600,CE,SENSEX,-1,9379.5,4459.8,0,0,0,0,0,0,0,0,0,0,0,0,2
1159952,SENSEX,SENSEX 08JAN2026 PE 92500,SENSEX2610892500PE,IO,20,0.05,08JAN2026,92500,PE,SENSEX,-1,9700.1,4727.65,0,0,0,0,0,0,0,0,0,0,0,0,2
823510,SENSEX,SENSEX 25MAR2026 CE 94300,SENSEX26MAR94300CE,IO,20,0.05,25MAR2026,94300,CE,SENSEX,-1,335.6,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
829474,SENSEX,SENSEX 12FEB2026 PE 76300,SENSEX2621276300PE,IO,20,0.05,12FEB2026,76300,PE,SENSEX,-1,20.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
826394,SENSEX,SENSEX 26DEC2030 PE 86000,SENSEX30DEC86000PE,IO,20,0.05,26DEC2030,86000,PE,SENSEX,-1,760.1,550.9,0,0,0,0,0,0,0,0,0,0,0,0,2
1163934,BANKEX,BANKEX 26FEB2026 PE 69900,BANKEX26FEB69900PE,IO,30,0.05,26FEB2026,69900,PE,BANKEX,-1,3947.5,1257.45,0,0,0,0,0,0,0,0,0,0,0,0,2
1159913,SENSEX,SENSEX 08JAN2026 CE 87600,SENSEX2610887600CE,IO,20,0.05,08JAN2026,87600,CE,SENSEX,-1,234.35,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
829125,SENSEX,SENSEX 12FEB2026 PE 84700,SENSEX2621284700PE,IO,20,0.05,12FEB2026,84700,PE,SENSEX,-1,1466.65,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
823248,SENSEX,SENSEX 05FEB2026 CE 91700,SENSEX2620591700CE,IO,20,0.05,05FEB2026,91700,CE,SENSEX,-1,184.15,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1146460,SENSEX,SENSEX 29JAN2026 PE 84800,SENSEX26JAN84800PE,IO,20,0.05,29JAN2026,84800,PE,SENSEX,-1,1348.75,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1148993,SENSEX,SENSEX 29JAN2026 CE 89800,SENSEX26JAN89800CE,IO,20,0.05,29JAN2026,89800,CE,SENSEX,-1,333.6,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
831347,SENSEX50,SENSEX50 25MAR2026 CE 28300,SENSEX5026MAR28300CE,IO,75,0.05,25MAR2026,28300,CE,SENSEX50,-1,685,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
827505,BANKEX,BANKEX 25MAR2026 CE 61400,BANKEX26MAR61400CE,IO,30,0.05,25MAR2026,61400,CE,BANKEX,-1,8142.9,4423.4,0,0,0,0,0,0,0,0,0,0,0,0,2
1174245,SENSEX,SENSEX 29JAN2026 PE 94400,SENSEX26JAN94400PE,IO,20,0.05,29JAN2026,94400,PE,SENSEX,-1,11282,6345.8,0,0,0,0,0,0,0,0,0,0,0,0,2
